quote_id,auction_brand,auction_model,auction_organizor,action_sales_code,auction_restauration_code,action_price,action_location
2&idCote,VOLKSWAGEN,Coccinelle 1303 coach,Jean-Pierre Osenat,V,OR-,1 500 €,Fontainebleau
2&idCote,VOLKSWAGEN,Coccinelle 1303 coach standard,Me Arnaud-Lacroze,V,OR-,1 900 €,Uzerche
2&idCote,VOLKSWAGEN,Coccinelle 1303 coach,SCP Cambron-Pesin-Dupont-Lagrifo,V,OR-,750 €,Saint-LoubèS
2&idCote,VOLKSWAGEN,Coccinelle 1303 coach RHD,BCA Classic & Historic,V,OR,750 €,Kempston Hardwick
6951,,,,,,,
6951,VOLKSWAGEN,Karmann-Ghia 1600 cabriolet (type14),Alcopa Auction,V,REST,13 160 €,La Mézière
6951,VOLKSWAGEN,Karmann-Ghia 1600 cabriolet (type14),Leclère MDV,V,REST,29 400 €,Avignon
6951,VOLKSWAGEN,Karmann-Ghia 1600 Type 14 cabriolet,Claude Aguttes SAS,V,REST,20 400 €,Lyon (Brotteaux)
6951,VOLKSWAGEN,"Karmann-Ghia 1600 cabriolet (type14), conv. RHD",Bonhams,V,REST/TR,5 520 €,Londres
6951,VOLKSWAGEN,Karmann-Ghia 1600 cabriolet T 14 LHD,Coys Auctions,V,OR,3 750 €,Whitney
6950,,,,,,,
6950,VOLKSWAGEN,"Karmann-Ghia 1600 cabriolet autom., jantes sport",Alcopa Auction Rennes,V,REST,18 020 €,La Mézière
6950,VOLKSWAGEN,Karmann-Ghia 1500 cabriolet ex-USA,Claude Aguttes,V,RAR,17 400 €,Lyon
6950,VOLKSWAGEN,Karmann-Ghia 1500 (T 14) cabriolet ex-USA,Claude Aguttes,V,RAR,18 000 €,Lyon
6954,,,,,,,
6954,VOLKSWAGEN,Karmann-Ghia 1600 (T 14) coupé,Silverstone Auctions,V,REST,25 319 €,Silverstone
6957,,,,,,,
6957,VOLKSWAGEN,"1600 TL coupé ""fastback""",Chevau-Légers Enchères,V,REST+,6 500 €,Versailles
6959,,,,,,,
6959,VOLKSWAGEN,1600 TLE coupé RHD,Jean-Pierre Osenat,V,EP,1 875 €,Fayence
8566,,,,,,,
8566,VOLKSWAGEN,Typ 2 fourgon / Combi camping par Canterbury Pitt RHD,H and H,V,REST,19 660 €,ONLINE
8566,VOLKSWAGEN,Typ 2 Combi ,Historics at Brooklands,V,REST,20 180 €,Ascot
8566,VOLKSWAGEN,Typ 2 fourgon surélevé (sans CG),Demade Enchères,V,EP,250 €,Vimoutiers
8566,VOLKSWAGEN,Type 21 fourgon tôlé LHD neuf (33 km d'origine),Coys Auctions,V,EX,22 010 €,Londres
8566,VOLKSWAGEN,Type 211 Microbus,Christie's USA,V,REST+,17 600 €,Monterey
9532,,,,,,,
9532,VOLKSWAGEN,1600 L Variant break,Jean-Pierre Osenat,V,EP,1 500 €,Fayence
9532,VOLKSWAGEN,1600 Variant break,Jean-Pierre Osenat,V,EP,2 250 €,Fayence
9532,VOLKSWAGEN,Type 3 Variant moteur Porsche 993,Coys Europe,V,TR/EX,30 000 €,Essen
8567,,,,,,,
8567,VOLKSWAGEN,Typ 23 Combi,RM Sotheby's,V,REST,33 220 €,Fort Lauderdale
8567,VOLKSWAGEN,Typ 23 Combi 11 fenêtres brésilien,Osenat,V,REST,48 000 €,Lyon
8567,VOLKSWAGEN,"Typ 23 Combi de Luxe 1500, prod. Brésil",Claude Aguttes,V,REST,33 720 €,Lyon
8567,VOLKSWAGEN,Type 24 Bus de luxe 21 fenêtres,RM Auctions,V,REST,66 388 €,Londres
