auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
PORSCHE,09/07/2016,Le Mans,356 B coupé T 5,Artcurial Motorcars,58 410 €,OR+,V,,5687,
PORSCHE,25/04/2015,Toffen,356 B 1600 coupé,Oldtimer Galerie Toffen,57 346 €,REST,V,,5687,
PORSCHE,10/10/2014,Knokke le Zoute,356 B 1600 cabriolet Reutter police ,Bonhams,235 750 €,REST,V,,5687,
PORSCHE,07/06/2014,zurich,356 B 1600 Super cabriolet T5,Oldtimer Galerie Toffen,124 010 €,REST+,V,,5687,
PORSCHE,25/09/2011,Versailles,"356 B ""60"" coupé T 5, moteur 75 ch",Chevau-Légers Enchères,31 000 €,REST/TR,V,,5687,
PORSCHE,22/10/2010,Sparkford,"356 B ""60"" coupé T 5 RHD ex-South Africa",H & H Classic Auctions,33 520 €,RAR,V,,5687,
PORSCHE,14/06/2010,Sainte-Geneviève,"356 B ""60"" coupé T 5 ex-USA",Australe,23 500 €,REST-,V,,5687,
PORSCHE,28/10/2009,Londres,"356 B ""60"" coupé T 5 LHD toit ouvrant",RM Auctions,28 600 €,OR+,V,,5687,
PORSCHE,26/07/2008,Silverstone,"356 B ""60"" coupé T 5 LHD toit ouvrant",Bonhams,21 450 €,REST,V,,5687,
PORSCHE,17/08/2007,Quail Lodge,"356 B ""60"" coupé T 5 LHD",Bonhams & Butterfields,15 750 €,OR,V,,5687,
,,,,,,,,,5701,
PORSCHE,08/03/2018,Amelia Island,356 A 1600 GS Carrera de Luxe coupé Reutter,Bonhams,508 760 €,OR+,V,,5701,
PORSCHE,26/10/2011,London,356 A 1600 GS Carrera de Luxe coupé,RM Auction,262 210 €,REST,V,,5701,
PORSCHE,28/10/2009,Londres,356 A 1600 GS Carrera GS/GT coupé (102543),RM Auctions,140 250 €,REST+,V,,5701,
,,,,,,,,,8022,
PORSCHE,19/08/2016,Carmel,356 A 1500 GS Carrera Speedster,Bonhams,787 000 €,REST,V,,8022,
PORSCHE,11/03/2016,Amelia Island,356 A 1500 GS/GT Carrera Speedster alu,Gooding & Co.,1 386 000 €,REST,V,,8022,
PORSCHE,13/06/2011,Paris,"356 A 1500 Carrera GS Speedster, moteur changé",Artcurial Motorcars,320 000 €,REST+,V,,8022,
PORSCHE,05/02/2011,Paris,356 A Carrera GS/GT coupé 1600 (102543),Bonhams,136 000 €,TR/REST,V,,8022,
PORSCHE,17/08/2006,Monterey,356 A 1600 Carrera GT Speedster (84954),Christie's USA,240 000 €,EX,V,,8022,
,,,,,,,,,5700,
PORSCHE,24/08/2018,Quail Lodge,356 A 1500 GS Carrera coupé custom Dean Jeffries,Bonhams,375 470 €,REST/TR,V,,5700,
PORSCHE,07/09/2015,Londres,356 A 1500 GS Carrera coupé Reutter,RM Sotheby's,413 381 €,REST,V,,5700,
PORSCHE,10/05/2014,Monaco,356 A Carrera 1500 GS/GT coupé Reuter,RM Auctions,420 000 €,REST,V,,5700,
PORSCHE,10/05/2014,Monaco,356 A Carrera 1500 GS/GT Speedster Reuter,RM Auctions,840 000 €,REST,V,,5700,
